Filename,Matching Lines,Total Lines,
diva1.txt,12,31,0.387096774
diva10.txt,6,18,0.333333333
diva100.txt,4,15,0.266666667
diva101.txt,11,34,0.323529412
diva102.txt,5,26,0.192307692
diva103.txt,5,14,0.357142857
diva105.txt,5,17,0.294117647
diva107.txt,8,19,0.421052632
diva108.txt,8,25,0.32
diva109.txt,7,26,0.269230769
diva11.txt,2,19,0.105263158
diva110.txt,8,28,0.285714286
diva111.txt,0,0,0
diva112.txt,8,26,0.307692308
diva113.txt,2,16,0.125
diva114.txt,1,6,0.166666667
diva115.txt,7,23,0.304347826
diva116.txt,12,24,0.5
diva117.txt,9,24,0.375
diva118.txt,7,21,0.333333333
diva119.txt,13,26,0.5
diva12.txt,10,29,0.344827586
diva120.txt,8,25,0.32
diva121.txt,4,21,0.19047619
diva122.txt,13,26,0.5
diva123.txt,7,25,0.28
diva124.txt,12,31,0.387096774
diva125.txt,10,25,0.4
diva126.txt,9,36,0.25
diva127.txt,5,20,0.25
diva128.txt,2,13,0.153846154
diva129.txt,1,1,1
diva13.txt,4,21,0.19047619
diva130.txt,3,32,0.09375
diva131.txt,1,22,0.045454545
diva132.txt,4,20,0.2
diva133.txt,5,20,0.25
diva134.txt,1,50,0.02
diva137.txt,7,18,0.388888889
diva138.txt,4,26,0.153846154
diva139.txt,6,15,0.4
diva143.txt,5,20,0.25
diva144.txt,7,32,0.21875
diva145.txt,4,23,0.173913043
diva146.txt,6,24,0.25
diva148.txt,2,27,0.074074074
diva149.txt,5,28,0.178571429
diva15.txt,7,28,0.25
diva150.txt,3,19,0.157894737
diva151.txt,7,26,0.269230769
diva152.txt,3,27,0.111111111
diva153.txt,6,21,0.285714286
diva154.txt,6,26,0.230769231
diva16.txt,2,2,1
diva17.txt,7,29,0.24137931
diva18.txt,6,21,0.285714286
diva19.txt,5,24,0.208333333
diva2.txt,7,25,0.28
diva20.txt,0,19,0
diva21.txt,2,18,0.111111111
diva22.txt,23,53,0.433962264
diva23.txt,4,16,0.25
diva24.txt,11,23,0.47826087
diva25.txt,0,20,0
diva26.txt,2,17,0.117647059
diva27.txt,9,27,0.333333333
diva28.txt,4,21,0.19047619
diva29.txt,7,23,0.304347826
diva3.txt,6,22,0.272727273
diva30.txt,6,17,0.352941176
diva31.txt,7,24,0.291666667
diva32.txt,5,18,0.277777778
diva33.txt,14,32,0.4375
diva34.txt,4,23,0.173913043
diva35.txt,15,32,0.46875
diva36.txt,6,24,0.25
diva37.txt,4,21,0.19047619
diva38.txt,14,36,0.388888889
diva39.txt,7,16,0.4375
diva4.txt,4,19,0.210526316
diva40.txt,14,22,0.636363636
diva41.txt,3,18,0.166666667
diva42.txt,3,29,0.103448276
diva43.txt,4,26,0.153846154
diva44.txt,2,16,0.125
diva45.txt,9,25,0.36
diva46.txt,19,26,0.730769231
diva47.txt,0,5,0
diva48.txt,7,23,0.304347826
diva49.txt,11,23,0.47826087
diva5.txt,5,23,0.217391304
diva50.txt,5,22,0.227272727
diva51.txt,7,19,0.368421053
diva52.txt,17,33,0.515151515
diva53.txt,7,37,0.189189189
diva54.txt,3,24,0.125
diva55.txt,0,5,0
diva56.txt,2,21,0.095238095
diva57.txt,4,15,0.266666667
diva58.txt,4,20,0.2
diva59.txt,5,19,0.263157895
diva6.txt,7,22,0.318181818
diva60.txt,8,25,0.32
diva61.txt,8,33,0.242424242
diva62.txt,7,17,0.411764706
diva63.txt,10,28,0.357142857
diva64.txt,11,20,0.55
diva65.txt,4,17,0.235294118
diva66.txt,7,23,0.304347826
diva67.txt,6,16,0.375
diva68.txt,8,29,0.275862069
diva69.txt,1,9,0.111111111
diva7.txt,8,18,0.444444444
diva70.txt,6,37,0.162162162
diva71.txt,0,4,0
diva72.txt,2,19,0.105263158
diva73.txt,8,21,0.380952381
diva74.txt,1,24,0.041666667
diva75.txt,6,16,0.375
diva76.txt,3,26,0.115384615
diva77.txt,9,29,0.310344828
diva78.txt,1,22,0.045454545
diva79.txt,4,35,0.114285714
diva8.txt,3,34,0.088235294
diva80.txt,12,23,0.52173913
diva81.txt,2,10,0.2
diva82.txt,0,15,0
diva83.txt,5,26,0.192307692
diva84.txt,7,28,0.25
diva85.txt,7,26,0.269230769
diva86.txt,7,31,0.225806452
diva87.txt,8,18,0.444444444
diva88.txt,5,23,0.217391304
diva89.txt,8,22,0.363636364
diva9.txt,5,23,0.217391304
diva90.txt,8,33,0.242424242
diva91.txt,2,26,0.076923077
diva92.txt,4,19,0.210526316
diva93.txt,2,27,0.074074074
diva94.txt,5,19,0.263157895
diva95.txt,4,27,0.148148148
diva96.txt,7,19,0.368421053
diva97.txt,6,23,0.260869565
diva98.txt,4,16,0.25
diva99.txt,4,15,0.266666667
f10.txt,10,22,0.454545455
f100.txt,5,10,0.5
f101.txt,6,18,0.333333333
f102.txt,13,40,0.325
f103.txt,4,22,0.181818182
f104.txt,4,21,0.19047619
f105.txt,6,27,0.222222222
f106.txt,0,0,0
f107.txt,10,34,0.294117647
f108.txt,4,20,0.2
f109.txt,7,20,0.35
f11.txt,2,17,0.117647059
f110.txt,9,18,0.5
f111.txt,5,22,0.227272727
f112.txt,17,29,0.586206897
f113.txt,4,5,0.8
f114.txt,9,21,0.428571429
f115.txt,10,25,0.4
f116.txt,6,11,0.545454545
f117.txt,2,20,0.1
f118.txt,10,25,0.4
f119.txt,8,25,0.32
f12.txt,6,15,0.4
f120.txt,2,3,0.666666667
f121.txt,4,22,0.181818182
f122.txt,0,0,0
f123.txt,7,23,0.304347826
f124.txt,0,17,0
f125.txt,11,23,0.47826087
f126.txt,2,20,0.1
f127.txt,8,25,0.32
f128.txt,5,17,0.294117647
f129.txt,12,39,0.307692308
f13.txt,3,14,0.214285714
f130.txt,3,20,0.15
f131.txt,3,14,0.214285714
f132.txt,11,44,0.25
f133.txt,7,22,0.318181818
f134.txt,8,24,0.333333333
f135.txt,5,22,0.227272727
f136.txt,9,19,0.473684211
f137.txt,1,1,1
f138.txt,2,25,0.08
f139.txt,13,22,0.590909091
f140.txt,10,16,0.625
f142.txt,7,31,0.225806452
f143.txt,13,28,0.464285714
f144.txt,0,0,0
f145.txt,11,50,0.22
f146.txt,5,19,0.263157895
f147.txt,2,27,0.074074074
f148.txt,9,14,0.642857143
f149.txt,5,13,0.384615385
f150.txt,3,16,0.1875
f151.txt,4,16,0.25
f152.txt,6,38,0.157894737
f153.txt,11,38,0.289473684
f154.txt,9,16,0.5625
f155.txt,6,20,0.3
f156.txt,4,15,0.266666667
f157.txt,5,18,0.277777778
f158.txt,5,20,0.25
f159.txt,4,16,0.25
f16.txt,5,21,0.238095238
f160.txt,3,19,0.157894737
f161.txt,3,3,1
f162.txt,2,15,0.133333333
f163.txt,1,15,0.066666667
f164.txt,5,19,0.263157895
f166.txt,6,23,0.260869565
f167.txt,6,21,0.285714286
f168.txt,2,20,0.1
f169.txt,1,4,0.25
f17.txt,9,20,0.45
f170.txt,8,33,0.242424242
f171.txt,2,15,0.133333333
f172.txt,5,40,0.125
f173.txt,4,17,0.235294118
f174.txt,6,22,0.272727273
f175.txt,0,16,0
f176.txt,2,15,0.133333333
f177.txt,9,14,0.642857143
f178.txt,8,19,0.421052632
f179.txt,1,1,1
f18.txt,7,15,0.466666667
f180.txt,13,33,0.393939394
f181.txt,7,26,0.269230769
f182.txt,3,16,0.1875
f183.txt,6,22,0.272727273
f184.txt,3,17,0.176470588
f185.txt,12,23,0.52173913
f186.txt,2,20,0.1
f187.txt,6,35,0.171428571
f188.txt,10,22,0.454545455
f189.txt,7,22,0.318181818
f19.txt,6,13,0.461538462
f190.txt,3,20,0.15
f191.txt,9,28,0.321428571
f192.txt,2,30,0.066666667
f193.txt,11,20,0.55
f194.txt,5,24,0.208333333
f195.txt,4,13,0.307692308
f196.txt,1,3,0.333333333
f198.txt,8,22,0.363636364
f199.txt,2,2,1
f20.txt,6,18,0.333333333
f200.txt,6,22,0.272727273
f201.txt,10,27,0.37037037
f202.txt,5,29,0.172413793
f203.txt,4,14,0.285714286
f204.txt,6,28,0.214285714
f206.txt,4,24,0.166666667
f207.txt,5,20,0.25
f208.txt,9,34,0.264705882
f209.txt,7,31,0.225806452
f21.txt,8,28,0.285714286
f210.txt,7,22,0.318181818
f22.txt,15,21,0.714285714
f23.txt,6,24,0.25
f24.txt,3,18,0.166666667
f25.txt,3,23,0.130434783
f27.txt,4,21,0.19047619
f28.txt,7,15,0.466666667
f29.txt,5,21,0.238095238
f3.txt,0,3,0
f30.txt,8,16,0.5
f31.txt,1,1,1
f32.txt,6,19,0.315789474
f33.txt,3,17,0.176470588
f34.txt,8,15,0.533333333
f35.txt,5,16,0.3125
f36.txt,7,30,0.233333333
f37.txt,1,18,0.055555556
f38.txt,6,19,0.315789474
f39.txt,6,18,0.333333333
f4.txt,2,20,0.1
f40.txt,4,10,0.4
f41.txt,9,18,0.5
f42.txt,8,40,0.2
f43.txt,6,22,0.272727273
f44.txt,5,22,0.227272727
f45.txt,6,27,0.222222222
f46.txt,1,3,0.333333333
f47.txt,7,34,0.205882353
f48.txt,6,18,0.333333333
f49.txt,5,20,0.25
f50.txt,6,18,0.333333333
f51.txt,1,22,0.045454545
f52.txt,14,29,0.482758621
f53.txt,4,5,0.8
f54.txt,5,20,0.25
f55.txt,8,26,0.307692308
f56.txt,3,10,0.3
f57.txt,2,19,0.105263158
f58.txt,4,22,0.181818182
f59.txt,8,25,0.32
f6.txt,1,1,1
f60.txt,1,3,0.333333333
f61.txt,9,26,0.346153846
f62.txt,3,19,0.157894737
f63.txt,1,12,0.083333333
f64.txt,4,21,0.19047619
f65.txt,7,21,0.333333333
f66.txt,11,31,0.35483871
f67.txt,2,5,0.4
f68.txt,6,12,0.5
f69.txt,3,22,0.136363636
f7.txt,7,35,0.2
f70.txt,4,31,0.129032258
f71.txt,5,33,0.151515152
f72.txt,1,1,1
f73.txt,10,43,0.23255814
f74.txt,3,17,0.176470588
f75.txt,0,17,0
f76.txt,6,27,0.222222222
f77.txt,7,24,0.291666667
f78.txt,5,23,0.217391304
f79.txt,15,33,0.454545455
f8.txt,13,19,0.684210526
f81.txt,11,34,0.323529412
f82.txt,9,33,0.272727273
f83.txt,9,29,0.310344828
f84.txt,5,17,0.294117647
f86.txt,7,28,0.25
f87.txt,1,2,0.5
f88.txt,6,30,0.2
f89.txt,6,22,0.272727273
f9.txt,2,20,0.1
f90.txt,3,17,0.176470588
f91.txt,1,1,1
f92.txt,6,19,0.315789474
f93.txt,2,17,0.117647059
f94.txt,8,15,0.533333333
f95.txt,6,19,0.315789474
f96.txt,5,31,0.161290323
f97.txt,2,19,0.105263158
f98.txt,7,20,0.35
f99.txt,4,19,0.210526316
,,,0.294302253
